text,Sentiment
"🔴⚠️ Inès, l’une des filles de @alexiscorbiere et @RaquelGarridoFr incite à attaquer l’hommage aux victimes du #Hamas au #Trocadéro et qualifie de « plutôt chiants » des enfants otages israéliens. 
 

 Convertie à l’Islam, elle porte parfois le hijab. 
 #Israel #LFI https://t.co/rMzE34oVFR",Neutral/None
ได้ยินแต่ Palenstine will be free มันมีส่วนไหนบอกว่าเด็กสนับสนุน Hamas หรอ,Pro-Palestine
"🇮🇱 @Israel Here’s what doesn’t “add up” for me:
 

 1. An Israeli fighter jet was spotted OVER the hospital when it got bombed
 2. Hamas’ rockets were firing in the OPPOSITE direction of the hospital
 

 It does “add up” that you’re screaming these lies at the top of your lungs though.",Neutral/None
"Joe Biden’s presidency is a total disaster. 
 

 A war in Europe. 
 

 A war in the Middle East. 
 

 U.S. hostages taken by Hamas. 
 

 World leaders cancelling meetings with the U.S. President at the last minute. 
 

 Billions to Iran. 
 

 Gas prices &amp; groceries double what Trump had.
 

 An open…",Pro-Palestine
"A black man passing by the leftist pro-Palestine protest in Washington, DC is incensed. He yells at them for expressing support for a terrorist movement that killed Americans. 30 American dual nationals were killed by Hamas, with 13 still missing. https://t.co/6WNCFjc78u",Pro-Palestine
"We’ve said it once and we’ll say it again:
 

 Hamas does NOT care about Gazan civilians. https://t.co/NhIa2zbKrS",Pro-Palestine
"LISTEN:
 Intercepted phone call between Hamas operatives saying the explosion at the hospital parking lot was caused by a misfired PIJ rocket. 
 

 Waiting for the retraction of the world media and government representatives who were quick to blame us for the incident. https://t.co/hX5PORu3pP",Pro-Palestine
"Across America, there have been endless reports of Islamic doctors, nurses, and medical students celebrating the violent Islamic attacks, rapes, killings, and kidnappings of Israelis and Jews by Hamas. 
 

 I remember a few years ago when the media and many so-called conservatives… https://t.co/FpLRGOGf06",Neutral/None
New York Times Patiently Awaiting Zoom Call From Hamas To See What They Should Print Today https://t.co/X4VqlvCrwR https://t.co/729hzqt0n8,Pro-Palestine
"Banyak kegunaan kondom di dalam ketenteraan.
 

 Lagi satu, kalau tentera Hamas memang nak merogol, apa kejadahnya nak pakai kondom dah. Bodoh ke apa kau ni @GilBitan?
 

 Dah kalau nak tahu apa aku tulis, kau translate je sendiri.",Pro-Palestine
OPERATIONAL UPDATE: Debunking Hamas fake news with IDF Spokesperson @JConricus. https://t.co/1mWmcibn4o,Neutral/None
"🚨Just happened outside of my office…Hamas supporters entered the Capitol and ripped down the “I Stand with Israel” sign outside my office. 
 

 Here’s what I have to say… https://t.co/i22PghlW1G",Neutral/None
"The people who just murdered 30 unarmed American citizens and are now holding some 14 Americans hostage just got a $100 million dollar payout from you the US taxpayer courtesy of the White House. If you think Hamas won’t benefit 100 percent from that money you are very, very…",Pro-Palestine
"Esta es la identificación de uno de los terroristas de Hamás que masacró a bebés en Kfar Aza. 
 Es la identificación verde que le permite trabajar en Israel. 
 Israel le dio, como a otros palestinos de Gaza, empleo y sustento y, a cambio, devolvieron violaciones, torturas,… https://t.co/XURX6o9Ccc",Neutral/None
"Her last words to her mother via text message were “Mom, I love you so much.”
 

 Roni Eshel (19) has been held hostage in the Gaza Strip by Hamas terrorists for two weeks.
 

 Help us bring her home by sharing this. 
 

 #HamasisISIS https://t.co/PNAyh5lWN6",Pro-Palestine
🇩🇪 | ÚLTIMA HORA: La Ministra del Interior de Alemania anuncia que la propaganda terrorista de Hamás se prohibirá en el país y que todos sus partidarios serán ARRESTADOS y DEPORTADOS. https://t.co/lwYo2ArDcg,Neutral/None
"🚨NEW - Kash Patel highlights the unbelievable connections between three senior Biden intelligence officials—Robert Malley, Ariane Tabatabai, and Maher Bitar—and their associations with Hamas and Iran.
 

 On June 29, 2023, Robert Malley was placed on unpaid leave from his role as… https://t.co/frLJb4wMnD",Pro-Palestine
"Have you ever heard of Hamas or Hezbollah asking YouTube and Facebook to remove videos they don't like?
 

 Israel are so insecure, and aware that their own behavior is criminal, that they censor journalists and critics all over the world— and then pretend they're a democracy. Lmao",Neutral/None
"Islamized Spain...
 

 In a show of power and intimidation, Hamas supporters targeted the ""Jewish-owned"" Hotel Cortés in Barcelona. 
 

 They singled out the hotel due to its ownership by the Israeli investor group Nitsba, which acquired it two years ago. 
 

 The radicals seized control… https://t.co/6L6Q3wTHk5",Neutral/None
Un padre israelí cuyos hijos han sido raptados por Hamás estalla: “Se han olvidado quién voló los trenes de Atocha”. https://t.co/owoaF0rY7W,Pro-Israel
"Con lágrimas en los ojos y un dolor inconsolable 💔 compartimos la triste noticia de que la pequeña Noya y su abuela Carmela fueron encontradas muertas, asesinadas por el #Hamas. 
 

 Se creía que habían sido secuestradas pero hoy fueron identificados sus restos.
 

 Noya, de 12 años,… https://t.co/KrqvOIf8ko",Pro-Palestine
Btw there is no Hamas in the West Bank. So they cannot even use that as an excuse,Pro-Palestine
"The terror and tyranny of Hamas and Putin represent different threats, but they both want to completely annihilate a neighboring democracy.
 

 Let me share with you why this is vital for America’s national security: https://t.co/MoClTKCBCw",Pro-Palestine
This Hamas chief lives in London. Arrest him @metpoliceuk. Get him out of Britain @SuellaBraverman https://t.co/aOgpPAQrYa,Pro-Palestine
"In the last 20 years, Hamas has fired more than 30,000+ rockets at Israel and killed around 30 Israelis. One of these rockets misfired and killed more than 500 Palestinians. Never heard a cruel joke than this!",Neutral/None
"Since Oct 7, the IDF has identified about 550 failed launches fired by Hamas that landed inside Gaza.
 

 The Hamas terrorist organization launches rockets from civilian infrastructure, areas and buildings in Gaza, injuring their own civilians. https://t.co/qDmiKGD0bx",Pro-Palestine
"Are Biden &amp; Co. Sane?
  
 Joe Biden just announced “$100 million for humanitarian assistance” in Gaza and the West Bank”.
  
 Despite his idiotic caveat that “we will have mechanisms in place so this aid reaches those in need —not Hamas or terrorist groups,” even Biden knows all too…",Pro-Palestine
"We cannot—and will not—let terrorists like Hamas and tyrants like Putin win.
 

 I refuse to let that happen. https://t.co/o2hGvfSNwu",Pro-Palestine
"🇮🇱 Hi everyone, @LauraLoomer thinks Hamas bombed their own Hospital in Gaza…
 

 🇮🇱 Comment below what country you think bombed it!",Pro-Palestine
"La Sinagoga de Melilla está siendo atacada en este momento por una turba. 
 Hamas y sus amigos están en nuestro país, y reciben un impulso inestimable desde el Gobierno de España.
 Van a por ti, van a por nosotros.
 VAN A POR TODOS. https://t.co/MmN5ywRocD",Pro-Palestine
🚨🇮🇱| ÚLTIMO MINUTO: Israel libera otro video que demuestra claramente que los cohetes de los terroristas de Hamas fueron los que destruyeron el Hospital en Gaza que mató a más de 800 civiles inocentes. La mentira de la Yihad islámica de Hamas se vino abajo por completo. https://t.co/kJxNLZ6F6C,Pro-Palestine
"""There is evidence of mass rape of so brutal that they broke their victims’ pelvis – women, grandmothers, children.""
 

 Volunteers recovering the bodies of Israelis slaughtered by Hamas describe unbearable brutality.
 https://t.co/uFGTe79HJo",Neutral/None
"O vídeo é chocante, se não está preparado não assista.
 Quem defende o hamas defende isso que está no vídeo como método legítimo para alcançar seus objetivos.
 Faça diferente do governo lula, não seja simpatizante do terrorismo, condene os nazistas.",Pro-Palestine
Abu Al Sahar senior member of Hamas' military wing. Eliminated. https://t.co/p0kM8A5kL9,Pro-Palestine
"🇮🇱 Britain’s Channel 4 News DEBUNKS ISRAEL’s fake claim that Hamas bombed the Gaza Baptist Hospital.
 

 Someone is going to lose their job for telling this dark truth!
 

  https://t.co/6ZEypms0cz",Pro-Palestine
"Media reported a Hamas lie. Mass protests/riots erupted in multiple Muslim countries, Muslim governments bought the lie and parroted it and decided to cancel all negotiations surrounding an end to the conflict. Really, well done, you truth-seeking peace lovers in the media.",Neutral/None
"Prime Minister @netanyahu, I stand with you in Israel’s darkest hour. 
 

 I welcome your commitment to ensure routes into Gaza are opened for humanitarian aid. 
 

 I support your work to secure the release of hostages, to strengthen your security and to end the threat from Hamas. https://t.co/ZrLJALTzBN",Pro-Palestine
"Conquered Sweden...
 

 Hamas soldiers march through the streets of the Swedish city of Helsingborg tonight shouting the Islamic battle cry, ""Allahu Akbar""...
 

 ...""Allah is greater "" or ""Allah is greatest"" -- a ""declaration of supremacism and superiority, and of victory over the… https://t.co/J8GBTyuO7Y",Pro-Palestine
"🚨| En Berlín, Alemania ya empiezan a arrestar a manifestantes que apoyan a los terroristas de Hamas. ¿Estás de acuerdo en que hay que arrestar y deportar a estos promotores del terrorismo? https://t.co/ACTYF8pDvG",Pro-Palestine
"Hamas wants the world to believe that they are a humanitarian organization. 
 

 Don't fall for their trap. https://t.co/XxuUnBubz7",Pro-Palestine
"Enough! #TurnOnTheWater! This is unacceptable.
 

 Israel-Hamas war live: lack of water in Gaza ‘a health crisis on the brink of explosion’, says charity
 https://t.co/cIqeg7MOQp",Pro-Palestine
"🇺🇸 | En Miami, dos hombres fueron vistos retirando carteles de israelíes secuestrados por Hamas en el área de Brickell. Los individuos parecen ser el dentista Ahmed ElKoussa y Xave Ramoul. https://t.co/R6FUXWCraW",Neutral/None
"Watch: Kevin Chen opens his concert at @carnegiehall with Hatikva, Israel’s anthem, paying tribute to the Israeli victims murdered and those who are being held hostage by Hamas.
 

 Thank you. https://t.co/kQzfagaqK0",Neutral/None
"""We all supported BLM...""
 

 A woman was caught tearing down photos in central London of missing civilians kidnapped or killed by Hamas. https://t.co/XR5XeHPZsC",Pro-Palestine
"⚠️ADVERTENCIA: Imágenes fuertes 
 Una vez tras otra #Hamas le miente🤥 en la cara al mundo cuando habla en inglés, mientras en árabe dicen lo que realmente piensan.
 

 Comparte la realidad.
 Que el mundo vea la verdadera cara del Hamas.
 

 #HamasEsISIS https://t.co/ZOyx8e3r0Q",Pro-Palestine
"Boston, MA - a woman at an upscale shopping center in Chestnut Hill was spotted removing posters of Israeli children kidnapped to Gaza by Hamas terrorists. https://t.co/5s5Rnx4Gj4",Pro-Palestine
"Thank you India 🇮🇳 for standing against Hamas from the first hour of this conflict, and not backing down.",Pro-Palestine
"URGENTE: Ala militar de Hamás: “Ayer por la tarde informamos a los qataríes que liberaríamos a los siguientes civiles israelíes: Nurit Yitzhak: 001145416 y Yocheved Lifshitz: 005236955 por razones humanitarias y sin recibir nada a cambio, El gobierno israelí se negó a…",Pro-Israel
"Americans are currently held hostage by Hamas and six U.S. military bases were attacked in the past 48 hours 
 

 And what does Biden give us during his “historic Oval Office address”? 
 

 A fundraising event for Zelenskyy and a lecture about Islamophobia
 

 (0 mention of the U.S.…",Pro-Palestine
"🇮🇱 Ben, you LIED this week claiming Hamas beheaded babies &amp; blew up their own hospital.
 

 You should be fired from the Daily Wire for your propaganda!",Pro-Palestine
"1. Los agentes de Hamás no utilizan teléfonos móviles porque saben que están vigilados. Utilizan telecomunicaciones propias incl. transceptor de mano (HT)
 

  2. Los agentes de Hamás no dicen específicamente desde dónde disparan los cohetes. Usan números o códigos.
 

  3. ¿Es…",Neutral/None
"WARNING DISTURBING FOOTAGE ⚠️
 

 An Israeli father escaping from Hamas terrorists with his young daughter and their dog.
 

 They catch up with him and shoot at them. Father covers daughter while getting shot &amp; saves her https://t.co/n53TVBaVDK",Neutral/None
"This is the Even family.
 

 When Hamas invaded their home in Kibbutz Beeri, the family hid in the safe room - so the terrorists decided to burn their house down instead. The family tried to escape and the father even shot one of the terrorists on the wait out, but another was… https://t.co/kHe7ZG4bx0",Pro-Palestine
"In a destroyed home in a community attacked by Hamas terrorists, a soldier sings the Israeli anthem.  
 

 Hamas will not ruin our spirits. https://t.co/0vTr8Dhpst",Neutral/None
"Hamás ha gobernado la Franja de Gaza desde el 2006, logra con 76 escaños la mayoría en las elecciones legislativas Palestinas, el pueblo lo eligió y luego prohibieron las elecciones, desde entonces hay una dictadura. Pensar qué hay tantos ignorantes defendiendo a esa dictadura,… https://t.co/N00IWspaJy",Pro-Palestine
"Un disparo fallido de cohete lanzado por terroristas desde Gaza impactó en el Hospital Bautista Al-Ahli en Gaza.
 

 Escucha una conversación entre dos miembros del Hamas que hablan sobre el disparo fallido de cohetes por parte de la Yihad Islámica el 17 de Octubre, 2023. https://t.co/bzOT06WyA8",Pro-Palestine
"Biden: 'Israel did not bomb the hospital, it was done by them'. 
 

 Hamas and Islamic Jihad are the enemy of the Palestinian people. #Israel #Gaza https://t.co/3d8PUmsqBd",Pro-Palestine
"The US government has failed to equate Hamas with ISIS, so they have moved on to equating Hamas with Putin. This of course will fail once more, but it says something major: they can only demonize Palestinian armed resistance if it’s tied to something that is already frowned upon.",Pro-Palestine
"Hamas military wing:
 

 “We informed the Qataris yesterday evening that we would release the following Israeli civilian captives 
 

 Nurit Yitzhak ID. 001145416
 Yocheved Lifshitz ID. 005236955
 

 for compelling humanitarian reasons and for nothing in return. Israeli gov refused https://t.co/1dKVBlZ6K2",Neutral/None
"TERKINI
 

 KENYATAAN MENGEJUTKAN DARI SUMBER HAMAS KEPADA AL JAZEERA
 

 Sumber itu menyebut bahawa Presiden US, Joe Biden mahu menekan Mesir untuk menerima penduduk Gaza dipindahkan ke Semenanjung Sinai, Mesir
 

 Biden juga berjanji akan melangsaikan hutang Mesir jika Mesir menerima…",Pro-Palestine
"Rashida Tlaib is a dangerous, terrorist-sympathizing demagogue who spews venom, whipping up the Muslim world into a violent mob that could ignite World War 3.
 

 She regurgitated Hamas propaganda in TEARS, long after serious questions were raised about the hospital narrative. Now…",Pro-Palestine
"there are white therapists are saying they won’t see people who support palestine, saying these children are paying the price for hamas. therapists. 
 

 the people who survive this will be traumatized the rest of their lives. the mental health field has a white supremacy problem.",Pro-Palestine
"During their attack on Israel, Hamas terrorists murdered around 50 Bedouin Arab Muslims.
 

 Even those reciting verses from the Quran weren’t spared https://t.co/Cl9XRwjqK7",Neutral/None
"NEW: Rep. Rashida Tlaib starts 'crying' in front of a crowd after accusing Israel of bombing the hospital in Gaza.
 

 The outburst from Tlaib was much different than her 'response' when she was asked by a reporter about the people who Hamas brutally killed in Israel.
 

 Instead of… https://t.co/YH1I9F1ex8",Pro-Palestine
"Desde o início do mês de outubro, as comunidades ribeirinhas do Pará e Amazônia estão sendo atacadas sob o silêncio ensurdecedor da “grande mídia” - enquanto estamos assistindo a guerra entre Israel e os terroristas do Hamas. 
 

 Moradores estão sendo expulsos de suas casas, tudo… https://t.co/oZoDMpNc5S",Neutral/None
This is a war started by Hamas. Our soldiers are ready to do more than respond—Hamas terrorism must cease to exist. https://t.co/Oe77x2br3e,Pro-Palestine
"According to members of an international team of forensic pathologists examining the bodies of the victims, Hamas terrorists committed unfathomable atrocities on 10/7. https://t.co/gCnYiS43Kz https://t.co/toI9P2M293",Pro-Palestine
"Israel has the ability to kill everyone in Gaza but hasn't because they don't want to kill civilians 
 

 Hamas wants to kill everyone in Israel but hasn't because they don't have the ability to kill as many civilians as they want to
 

 See the difference?",Pro-Palestine
"BREAKING NOW: Lawfare Project lawyers file official complain with Office of Congressional Ethics against Rashida Talib for spreading a MODERN DAY Blood libel.""
 

 ""She is.. intentionally INCITING VIOLENCE, intentionally operating as a PR arm of the Hamas terror group.""
 

 THOUGHTS? https://t.co/2eBlHGM1bM",Pro-Palestine
"The vast majority of Palestinians are not Hamas. 
 

 Hamas does not represent the Palestinian people.",Pro-Palestine
"Sudah sampai tahap di mana semua propaganda Israel tentang “Hamas = ISIS” tidak berjaya meyakinkan penduduk dunia, mereka mulakan serangan peribadi terhadap pemimpin Hamas. 
 

 Kesian.",Neutral/None
"Watch Tlaib’s aggressive insurrectionist come at me in Cannon today👇
 

 After Hamas murdered and kidnapped innocent Israelis, this antisemite screams “Let Gaza live” and claims I have blood on my hands.
 

 Now Biden wants to give $100 million to Gaza to fund more Hamas terrorism! https://t.co/aCLr5vUlrX",Pro-Palestine
"🇮🇱🇵🇸 Israel bombardea un hospital y después acusa a Hamás y a la Jihad Islámica con un vídeo de 2022 
 

 “Periodistas españoles con experiencia en el conflicto han señalado que ni Hamás ni la Yihad Islámica disponen de misiles con esa capacidad destructiva”
 

 https://t.co/V1WgcQdFqe",Pro-Israel
"WATCH: A woman in Chestnut Hill, MA, which has a large Jewish population, was filmed tearing down pictures of the women and children who Hamas terrorists took hostage. She then turns to the camera and smiles before walking away. https://t.co/EGALJkznB5",Pro-Palestine
"An Israeli father escaping from Hamas terrorists with his young daughter and their dog.
 

 They catch up with him and shoot him.
 

 The daughter survives and walks away https://t.co/smDw1iR8zM",Neutral/None
".@GretaThunberg, Hamas doesn’t use sustainable materials for their rockets which have BUTCHERED innocent Israelis .
 

 The victims of the Hamas massacre could have been your friends. 
 

 Speak up. https://t.co/Z4orsm2UjD",Neutral/None
"The Idan children.
 

 Their parents - Roy &amp; Smadar Idan - were shot by Hamas in their home in Southern Israel. Smadar was murdered in front of her young children, Michael (age 9), Amalia (age 6), and Abigail (age 3).
 

 Michael took his sister Amalia and the two hid in a closet for… https://t.co/5yv5MwJRx8",Neutral/None
Retweet if you think Congress should pass my legislation to block sending aid to Hamas.,Pro-Palestine
Israel defends civilians - Hamas uses civilians. #Hamas_Is_ISIS https://t.co/FTUbzhSPl1,Neutral/None
Shame on Hamas for targeting their own people just to gain sympathy,Pro-Palestine
🚫 VISTO NEGADO: O Senador americano @marcorubio anunciou que estrangeiros apoiadores do grupo terrorista Hamas deverão perder o visto americano. Já estamos em contato com a Embaixada para enviar uma lista de políticos e pessoas públicas que estão apoiando e estimulando o Hamas… https://t.co/qehMcvMNJv,Pro-Palestine
"🇪🇸 | ESPECTACULAR DISCURSO de Isabel Diaz Ayuso contra la izquierda defensora de Hamas:
 

 “Ustedes no están a favor de la causa palestina, sino que son profundamente antisemitas. Le animo a salir de El Retiro (Madrid) e irse un rato a la Franja de Gaza"". https://t.co/Onhvwk0FXv",Pro-Palestine
"🇵🇸🇮🇱 HAMAS STATEMENT ON CHURCH BOMBING:
 

 “The Israeli occupation’s bombing of the Gaza church is another crime against religious places and defenseless civilians.
 

 The Zionist crimes continue to expand, with the latest of which was targeting the ancient Greek Orthodox Church of… https://t.co/eRDIzILY44",Neutral/None
"🚨| ÚLTIMA HORA: DURISIMO GOLPE A LOS TERRORISTAS DE HAMAS. La Ministra del Interior de Alemania, Nancy Faeser, ha declarado hoy que la propaganda de Hamás no será tolerada en Alemania y que sus partidarios deberían ser arrestados y deportados del país. ⚠️ ¿Apoyas esta medida? https://t.co/bje3IGQBfW",Pro-Palestine
"This is an image of a children's home in Kibbutz Be'eri. 
 

 A children's home. 
 

 Human remains were found. 
 

 This is why we are fighting. And this is why we will not stop until Hamas is extinct. https://t.co/gvqVLycu0N",Pro-Palestine
IDF releases a recording of an intercepted phone call between two Hamas operatives who discuss the failed Islamic Jihad rocket that landed on the Gaza hospital. https://t.co/ozoXclXLxD,Pro-Palestine
"Israeli Police threaten press live on air to say:
 

 Reporter: 
 I am reporting what Israel Military is doing.
 

 Police:
 You better be saying good things, and all these Hamas should be slaughtered!
 Am I clear?
 

 Reporter to News Desk:
 The Israeli Police are monitoring what we are… https://t.co/UPpRJPeUWC",Neutral/None
"Orang yang cakap Hamas sama jahat atau sama zalim dengan Israel adalah orang yang tidak hidup dalam dunia realiti.
 

 Baik diam daripada menyerlahkan kejahilan.",Neutral/None
"France has surrendered...
 

 Thousands of Jihadis and their supporters are chanting the Islamic battle cry, 'Allahu Akbar,' in solidarity with Hamas at a rally.
 

 Once again, Islamic supremacists spit in the faces of authorities who banned pro-Hamas protests.
 

 Do you recall an… https://t.co/XC21WXRIk0",Pro-Palestine
Israel fights back. It's the beginning of the end of Hamas. https://t.co/G1WfAPwvho,Neutral/None
"Avigail Idan is 3. Her parents were murdered and she is being held hostage in Gaza. 
 

 Avigail’s father, Roee, went out Saturday morning to photograph infiltrators on paragliders in the skies over Kibbutz Kfar Aza. Once he realized that it was a Hamas attacke, he ran home to find… https://t.co/2ofBPaTUjp",Pro-Palestine
"Hamas Clarifies They Meant To Start The Type Of War Where They Get To Do Whatever They Want And No One Fights Back 
 https://t.co/IQ0L2yqROX https://t.co/ce807XGW3g",Pro-Palestine
"Biden: I caution this while you feel that rage, don't be consumed by it. After 9/11, we were enraged in the US. While we sought justice and got justice, we also made mistakes… The vast majority of Palestinians are not Hamas. Hamas does not represent the Palestinian people. https://t.co/n9nun6ves6",Pro-Palestine
Biden Announces He Has Secured Pinky Promise From Hamas Not To Use $100 Million For Terrorism https://t.co/YI1QvITb3F https://t.co/7y2FksiFev,Pro-Palestine
"Hundreds of asylum seekers rioted in the Samos asylum center in Greece after news about the strike on the hospital in Gaza.
 

 This is the same asylum center where large groups of migrants celebrated on the first day of the Hamas attack on Israel.
 

 🇬🇷🇮🇱 https://t.co/KHKJaVDjvQ",Pro-Palestine
You guys are right. Israel would never bomb a hospital. It’s not like five days ago they hit a children’s hospital in Gaza with white phosphorous or anything. Israel issued those evacuation orders to 22 hospitals in the past week because they were worried Hamas would bomb them.,Pro-Palestine
"Suheyb abu Amar al-Razm was one of the bus drivers taking young people to the Nova music festival.
 

 He was a Palestinian from East Jerusalem. 
 

 The Hamas terrorists who attacked the festival didn't care. They murdered him anyway. https://t.co/qQvRFJpAyW",Neutral/None
"Acabo de encaminhar um ofício para a Embaixada dos Estados Unidos no Brasil informando, às autoridades competentes, uma lista de políticos, entidades e civis brasileiros que, publicamente, já manifestaram apoio ao grupo terrorista Hamas.",Pro-Palestine
"The students at Harvard University stand in solidarity with #Gaza and its people🇦🇪
 

 #IStandWithPalestinians
 #PalestineGenocide #IsraelGazaWar #IsraelTerorrist #غزة_تحت_الركام #Iran Arab #مجزرة_مستشفى_المعمداني #IsraelAttack #Hamas 
 #PalestineWillBeFree
 https://t.co/mgpr56HUWq",Pro-Palestine
"🇮🇱 Israeli TERROR BOMBING completely destroys this civilian’s home. 
 

 🇮🇱 Remember when they claimed they were “fighting Hamas?” https://t.co/LJKU0ldJ2u",Neutral/None
"This level of bombardment is insane by any standard!
 

 Israel is now flattening Tal Al-Hawa; one of Gaza's affluent areas with most high-rise residential buildings &amp; least Hamas presence.
 

 Israel has now destroyed over 121,000 housing units (partially &amp; completely). https://t.co/slgC7tb2bv",Pro-Palestine
"🇵🇸🇮🇱 HAMAS STATEMENT:
 

 “In accordance with Hamas’s commitment with all mediators, particularly our fellow brothers in Egypt, Qatar, and various other countries with whom we maintain cordial relations, a female and her daughter, both possessing American citizenship, were released… https://t.co/eslW5N32l1",Pro-Palestine
"Warning: Intelligence sources tell us that Hamas is working on a fabricated video to hide the misfiring of an Islamic Jihad rocket on a hospital in Gaza and falsely accuse Israel of doing so. 
 

 Remember that this is a terrorist organization, the same organization that runs the… https://t.co/g6cG5RqUoL",Pro-Palestine
Hamas Caucus Leader @RepRashida is leading the current insurrection on Capitol Hill.,Pro-Palestine
"Today, we have secured the release of two Americans taken hostage by Hamas during the horrific terrorist assault against Israel.
 

 Our fellow citizens have endured a terrible ordeal these past 14 days, and I am overjoyed that they will soon be reunited with their family.",Neutral/None
"Over 100 Hamas-ISIS targets were eliminated last night, including numerous Hamas-ISIS terrorists. https://t.co/JWy7NrUayg",Pro-Palestine
"If this is all Hamas' fault, can someone explain to me why Palestinians in the West Bank - which is not ruled by Hamas - are still under Israeli occupation and being killed on a daily basis?",Pro-Palestine
"You’ll be hard pressed to find more knowledgeable experts on international law and how it effects Israel in its response to the Hamas massacre, than barrister Natasha Hausdorff! Brilliant explanation here on BBC. https://t.co/q2qMzeF7UH",Neutral/None
"New analysis found that verified accounts on X spread 74% of the platforms most viral, false claims related to the Israel-Hamas war
 

 Story: https://t.co/cr3scv3fP4
 

 https://t.co/cr3scv3fP4",Neutral/None
"Students at @TelAvivUni covered all of the chairs in their auditorium with photos and names of the Israeli men, women and children murdered by Hamas. 
 

 A heartbreaking and stirring tribute to the dead. 
 

 May their souls rest in peace. https://t.co/TR6vqpjx9T",Neutral/None
"Here is a new website that contains all videos and images of documented Hamas War Crimes from October 7th, including raw footage from the attacks. 
 

 The world must know the enemy we are fighting. The enemy whose clearly stated intentions are to rid Israel of its Jews and then the…",Neutral/None
"A Muslim hero of Israel: This is Ashraf, a Bedouin IDF commander who fought against Hamas terrorists who tried to capture his base. It happened to be visitors day on base, so he and his soldiers saved countless lives. Here they are thanking him.
 

  https://t.co/0hCIxcJCfa",Pro-Israel
"Ni bodoh ya tuan-tuan. Dia intercept phone call hamas bermakna IDF tahu kedudukan Hamas di mana, lepastu dia rocket random tempat alasan minta Hamas serah diri konon nya. Padahal mmg sengaja nak bunuh rakyat Palestine. 
 

 Wayang tak power. 
 

 לעזאזל עם ישראל",Pro-Palestine
"Sebab itu jangan percaya diorang sebut “kami benci kat Hamas je”, kemudian mereka terus bunuh orang Palestin. Hakikatnya mereka nak lenyapkan rakyat Palestin sahaja. 
 

 Action speaks louder than words.",Pro-Palestine
"Sarah Silverman’s claim: if Hamas didn’t spend billion of dollars on terrorism they would be able to build the infrastructure to support themselves. 
 

 Here’s how that’s absolute horseshit: https://t.co/fuJTRmEUCi",Pro-Palestine
"The Interior Minister of Germany, Nancy Faeser has stated today that Hamas Propaganda will not be Tolerated in Germany and that their Supporters should be Arrested and Deported from the Country. https://t.co/qgAk3RGDwq",Pro-Palestine
"INSURRECTIONISTS are storming the Capitol in support of Hamas. They are interrupting official government proceedings. Will there be federal charges? Solitary confinement? Will FBI raid their homes? WHO PAID for their buses, signs &amp; t-shirts? I'll join @RepMTG to get answers!",Pro-Palestine
Mujeres israelíes dispuestas a dar su vida por la patria para combatir a Hamás. Esto sería algo impensable en España. Esto es verdadero feminismo y patriotismo👇 https://t.co/EIJbp75hYh,Pro-Israel
".@JoeBiden just said “HAMAS doesn’t represent the Palestinian people.”
 

 That’s a blatant lie. HAMAS was elected by the Palestinian people. 
 

 90% of the people in GAZA support Hamas. 
 

 Joe Biden is aiding and abetting terrorism by funding HAMAS in Gaza.",Pro-Palestine
"Este era Shlomo Ron. Un frágil anciano de 85 años que vivía en el kibbutz de Nahal Oz. 
 

 Cuando las bestias de Hamás llegaron a su casa, escondió a su mujer, a sus hijas y a su nieto en el refugio, y se dirigió a la sala de estar, con el fin de confundir a los terroristas.… https://t.co/SaJa4XLnKB",Neutral/None
"No mires hacia otro lado.
 

 Es fácil seguir pasando por tu feed, pero te pedimos que pares, leas y compartas los nombres y los rostros de los israelíes que fueron secuestrados por la organización terrorista #Hamas.
 

 Este es Ofir Engel, de 17 años, que fue secuestrado en el Kibutz… https://t.co/0tPMQD5M6G",Neutral/None
"Today on Oct 18th 2023 we witnessed the most horrific, tragic event in our nation’s history… An insurrection of the Capitol. 
 

 Hamas tried to overthrow our government.",Pro-Palestine
"“Open your eyes and see the true face of Hamas.”
 Watch IDF Spokesperson, RAdm. Daniel Hagari, talk about the truth. https://t.co/YMQm0gDCzv",Neutral/None
"Hitler's New Soldiers ...
 

 Germany has become so Islamized that Muslim migrants actually go on television and proudly discuss how they celebrated the Hamas slaughter, rape, and kidnapping of innocent Israelis and Jews! 
 

 These are the ""enrichers"" Angela Merkel imported...It is no… https://t.co/XPAhT762YF",Neutral/None
"This is what Palestinian terrorists did to the innocent Israeli families. 
 

 Start calling them ""Palestinian terrorists"" instead of just Hamas. Hamas is composed of citizens of Palestine fighting against Israel, make no mistake. https://t.co/pzOM4PGL2D",Pro-Palestine
"🇵🇸 Lean y compartan por favor.
 

 Palestino en Cisjordania: «Hamas es el único responsable de cualquier derramamiento de sangre en Gaza» https://t.co/8MQqFL10qq
 

 ""Lo verdaderamente desgarrador aquí es el alcance al que Hamas llegará para perjudicar a su propio pueblo en nombre de…",Pro-Palestine
"You can’t look at the atrocities Hamas terrorists committed in Israel over past two weeks and not scream out for justice.
 

 Justice must be done. https://t.co/cZnyEXKkAZ",Neutral/None
